,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
42,0.004873228073120117,0.00014431800953654419,0.0051056861877441405,0.00021699639962775798,gini,3,5,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
43,0.004826927185058593,0.0003710688921679287,0.005362272262573242,0.00022664226131757063,gini,3,5,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
44,0.004966306686401367,0.00015887512864737913,0.005265045166015625,0.0002443525672154212,gini,3,5,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
45,0.004702377319335938,0.0002505751545223717,0.005303335189819336,0.00019641057412466366,gini,3,5,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 15}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
46,0.004650402069091797,0.00023727027929740845,0.005284833908081055,0.0003440362549576455,gini,3,5,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 50}",0.7142857142857143,0.8571428571428571,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7448051948051948,0.08273654864508259,124
47,0.004533529281616211,7.415622716557449e-05,0.004882621765136719,0.0001148696062514854,gini,3,5,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 100}",0.7678571428571429,0.875,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.759090909090909,0.08618255598816817,46
48,0.004594230651855468,0.00013875556559739017,0.004978990554809571,0.00020339710184982005,gini,3,10,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.7142857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7412337662337662,0.07806372407221514,143
49,0.004688882827758789,0.000267404930004123,0.005169296264648437,0.00024541871423731286,gini,3,10,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.7142857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7412337662337662,0.07806372407221514,143
50,0.004613542556762695,0.00013692008474624999,0.0050108909606933595,8.877068766765512e-05,gini,3,10,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.7142857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7412337662337662,0.07806372407221514,143
51,0.004684543609619141,0.0002053329459538361,0.005147504806518555,0.00028296600960030325,gini,3,10,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 15}",0.7142857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7412337662337662,0.07806372407221514,143
52,0.0053923606872558595,0.0005289462069041998,0.005807352066040039,0.0004667039246392605,gini,3,10,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 50}",0.7142857142857143,0.8392857142857143,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.7412337662337662,0.07806372407221514,143
53,0.0058726310729980465,0.000826681465353194,0.006805944442749024,0.0004088204303222239,gini,3,10,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 100}",0.7678571428571429,0.875,0.6071428571428571,0.7636363636363637,0.7818181818181819,0.759090909090909,0.08618255598816817,46
54,0.005480337142944336,0.00046557993830602374,0.00563664436340332,0.00040599015597137986,gini,3,15,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 2}",0.7142857142857143,0.6785714285714286,0.625,0.7636363636363637,0.7090909090909091,0.6981168831168831,0.04561308159969842,337
55,0.004774808883666992,9.080800006165241e-05,0.005191516876220703,0.0002268712025143261,gini,3,15,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 5}",0.7142857142857143,0.6785714285714286,0.625,0.7636363636363637,0.7090909090909091,0.6981168831168831,0.04561308159969842,337
56,0.0049685478210449215,0.00019504846620563716,0.005305337905883789,8.971921437308402e-05,gini,3,15,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.7142857142857143,0.6785714285714286,0.625,0.7636363636363637,0.7090909090909091,0.6981168831168831,0.04561308159969842,337
57,0.0051056861877441405,0.0001767939854426368,0.005341148376464844,0.00019748046117406144,gini,3,15,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 15}",0.7142857142857143,0.6785714285714286,0.625,0.7636363636363637,0.7090909090909091,0.6981168831168831,0.04561308159969842,337
58,0.0050333976745605465,0.0003559235844617921,0.005399847030639648,0.00022295340139622108,gini,3,15,50,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 50}",0.7142857142857143,0.6785714285714286,0.625,0.7636363636363637,0.7090909090909091,0.6981168831168831,0.04561308159969842,337
59,0.004999828338623047,9.740213397465106e-05,0.005343198776245117,0.00017932811561198646,gini,3,15,100,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 100}",0.7678571428571429,0.875,0.625,0.7636363636363637,0.7090909090909091,0.7481168831168831,0.08174429770604726,102
60,0.004915857315063476,0.00026911810543605046,0.005382728576660156,0.00021239814012508608,gini,3,20,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 2}",0.75,0.6785714285714286,0.625,0.6909090909090909,0.8363636363636363,0.7161688311688312,0.0720481979192426,315
